HIP,X,Y,Z,Exo,Discovery,Multi,MaxPMass,StarMass,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y1
105585,19.05120751,6.805265232,26.15882779,0, None,0,0,0,0.25,nan,-0.16,nan,0.21,0.27,0.23,0.22,0.16,nan,0.31,0.34,0.28,nan,0.34,0.3,nan
105606,-26.0301111,-11.06090961,24.38159636,0, None,0,0,0,0.33,nan,0.31,0.12,0.38,0.33,0.32,0.33,0.29,0.39,0.38,0.43,0.34,0.29,0.45,0.39,0.27
105629,26.13029001,13.38947454,46.33530965,0, None,0,0,0,-0.03,-0.62,0.12,-0.14,0.23,0.15,-0.08,0,0.06,0.11,0.05,-0.1,-0.04,-0.17,-0.03,-0.01,nan
105665,-25.35166602,-17.25267637,-66.65162219,0, None,0,0,0,0.27,-3.05,0.05,0,0.32,0.42,0.44,0.38,0.21,0.11,0.12,0.26,0.24,0.18,0.27,0.27,-0.01
105695,-65.73426333,-50.9877449,-77.41110795,0, None,0,0,0,0.05,-0.08,-0.43,-0.22,0.88,1.11,nan,0.22,-0.17,0.88,0.26,0.51,0.65,-0.36,0.82,0.12,0.89
105766,3.492387638,4.200966956,25.83483321,0, None,0,0,0,-0.68,-2.52,nan,-0.36,-0.71,-0.37,-0.45,-0.5,-0.43,-0.52,-0.38,-0.72,-0.71,-0.91,-0.56,-0.67,-0.63
105821,22.8583345,39.02954958,10.74761999,0, None,0,0,0,-0.15,nan,-0.17,nan,-0.11,-0.11,-0.13,-0.15,-0.11,-0.11,-0.01,0.06,-0.13,-0.3,-0.13,-0.18,nan
105857,21.7107523,50.50213862,-64.21559364,0, None,0,0,0,-0.55,-0.9,-0.24,-0.2,-0.67,-0.47,-0.69,-0.47,-0.52,nan,-0.57,-0.75,nan,-0.99,-0.56,-0.65,nan
105858,-2.985996275,-7.006545194,-5.270074242,0, None,0,0,0,-0.63,-0.84,-0.53,-0.4,-0.56,-0.54,-0.63,-0.59,-0.57,-0.56,-0.63,-0.65,-0.71,-1,-0.5,-0.67,-0.69
105881,-36.64658124,-101.5064013,48.22344858,0, None,0,0,0,0.03,nan,0.49,-0.47,0.11,0.16,0.08,0.1,0.15,nan,0.03,nan,0.03,-0.66,nan,0.03,1.06
105904,-8.987916769,-31.45003699,79.84091232,0, None,0,0,0,0.41,nan,0.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
105905,5.647077618,20.20175321,9.444615338,0, None,0,0,0,-0.67,nan,-0.46,nan,-0.58,-0.54,-0.46,-0.63,-0.54,-0.32,-0.32,-0.17,-0.58,-0.88,-0.57,-0.66,nan
105918,-7.119760937,-29.67301492,-13.49658701,0, None,0,0,0,0.02,nan,0.03,-0.02,-0.17,0.02,-0.13,0,0.09,nan,0.02,0.09,0.08,-0.16,nan,-0.04,0.17
105992,0.005408905,0.585236441,38.66533107,0, None,0,0,0,0.13,nan,nan,nan,0.03,0.16,0.1,0.1,0.18,0.15,0.15,0.15,0.19,0.03,0.19,0.12,0.26
106003,-0.640278402,30.85517738,32.36772589,0, None,0,0,0,0.21,nan,nan,nan,0.21,0.05,0.1,0.18,0.27,1.52,0.36,0.64,0.34,0.19,0.8,0.18,0.65
106007,-0.870918249,19.4144276,30.14689599,0, None,0,0,0,-0.36,-0.53,nan,-0.3,-0.4,-0.31,-0.59,-0.5,-0.32,nan,-0.31,nan,nan,nan,nan,nan,nan
106040,-1.334770614,7.88862304,59.37953471,0, None,0,0,0,-0.32,-0.63,-0.09,-0.11,-0.32,-0.3,-0.46,-0.23,-0.31,nan,-0.35,-0.46,nan,-0.62,-0.39,-0.37,nan
106078,-14.41801581,47.13767909,-2.530990331,0, None,0,0,0,-0.03,-1.76,0,0.03,-0.02,0.08,0.04,0.01,0.05,0.02,0.06,-0.02,-0.03,-0.16,-0.02,-0.04,nan
106081,27.631296,-89.02320597,-29.75711294,0, None,0,0,0,0.15,-3.1,-0.04,0,0.15,0.32,0.3,0.23,0.05,0.2,0.19,0.2,0.09,0.33,0.26,0.18,0.2
106093,18.95556398,-52.10833482,36.61106859,0, None,0,0,0,0.14,-2.76,-0.06,-0.03,0.2,0.22,0.21,0.18,0.13,0.05,0.13,0.13,0.04,0.28,0.14,0.11,0.25
106157,-32.77445344,56.95039953,-19.9902659,0, None,0,0,0,-0.44,-0.81,-0.1,-0.17,-0.42,-0.37,-0.57,-0.29,-0.39,nan,-0.44,-0.6,nan,-0.8,-0.42,-0.48,nan
106213,-18.60000891,22.73654664,23.0082895,0, None,0,0,0,0.08,-0.87,0.17,-0.03,0.09,0.1,0.06,0.08,0.12,0.12,0.1,0.05,0.07,-0.05,0.1,0.09,0.12
106306,-31.25571444,22.55532254,-132.4360525,0, None,0,0,0,-0.05,-2.74,-0.02,-0.19,0.07,0.16,0.17,0.23,0,-0.09,-0.06,-0.13,0.02,-0.43,-0.03,-0.03,0.55
106356,-25.96946559,13.01130591,46.56852676,0, None,0,0,0,-0.32,nan,nan,nan,-0.32,0.03,-0.17,-0.17,-0.13,-0.05,-0.12,-0.3,-0.3,-0.58,-0.13,-0.32,0.01
106400,-14.83193305,5.105326263,-17.14725712,0, None,0,0,0,0.06,-2.93,nan,nan,0.11,0.06,-0.06,0.13,0.05,0.11,0.05,0.08,0.07,-0.04,0.32,0.16,-0.39
106438,44.57660667,-9.291814562,-18.41090123,0, None,0,0,0,-0.04,nan,-0.06,0.02,-0.15,0.01,-0.01,nan,-0.04,nan,0.02,-0.07,-0.07,nan,-0.06,-0.03,nan
106452,53.51076255,-9.307915095,22.22481904,0, None,0,0,0,0.25,nan,0.33,0.14,0.34,0.17,0.08,0.25,0.2,nan,0.27,0.14,0.19,nan,0.28,0.29,nan
106473,-8.029154943,0.869304015,68.53894278,0, None,0,0,0,0.16,nan,nan,-0.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
